date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:58	3237/3237	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/ropb2.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/ropb2.js	(from http://10.1.1.1/900NA.html)
13:24:58	13524/13524	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/syscalls.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/syscalls.js	(from http://10.1.1.1/900NA.html)
13:24:58	11075/11075	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/syscalls2.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/syscalls2.js	(from http://10.1.1.1/900NA.html)
13:24:59	2803/2803	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/relocator.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/relocator.js	(from http://10.1.1.1/900NA.html)
13:24:59	992/992	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/900.html	D:/meusites2/esp32s2pa4host/10.1.1.1/900.html	(from http://10.1.1.1/900NA.html)
13:25:00	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/netcat.js	D:/meusites2/esp32s2pa4host/10.1.1.1/netcat.26.delayed	(from http://10.1.1.1/900Auto.html)
13:25:00	178716/178716	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/payloads/mira.js	D:/meusites2/esp32s2pa4host/10.1.1.1/payloads/mira.js	(from http://10.1.1.1/900NA.html)
13:25:00	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/malloc.js	D:/meusites2/esp32s2pa4host/10.1.1.1/malloc.27.delayed	(from http://10.1.1.1/900Auto.html)
13:25:00	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/rop_sleirs.js	D:/meusites2/esp32s2pa4host/10.1.1.1/rop_sleirs.28.delayed	(from http://10.1.1.1/900Auto.html)
13:25:00	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/syscalls.js	D:/meusites2/esp32s2pa4host/10.1.1.1/syscalls.29.delayed	(from http://10.1.1.1/900Auto.html)
13:25:01	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/syscalls2.js	D:/meusites2/esp32s2pa4host/10.1.1.1/syscalls2.2a.delayed	(from http://10.1.1.1/900Auto.html)
13:25:01	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/mira.js	D:/meusites2/esp32s2pa4host/10.1.1.1/mira.2b.delayed	(from http://10.1.1.1/900Auto.html)
13:25:01	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/relocator.js	D:/meusites2/esp32s2pa4host/10.1.1.1/relocator.2c.delayed	(from http://10.1.1.1/900Auto.html)
13:25:01	317/317	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/layStation%204/	D:/meusites2/esp32s2pa4host/10.1.1.1/layStation%204/index.html	(from http://10.1.1.1/900Auto.html)
13:25:02	7546/7546	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/Xhost/styles.css	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/styles.css	(from http://10.1.1.1/Xhost.html)
13:25:02	10481/10481	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/kernel.html	D:/meusites2/esp32s2pa4host/10.1.1.1/kernel.html	(from http://10.1.1.1/Xhost.html)
13:25:02	2861/2861	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/core.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/core.js	(from http://10.1.1.1/Xhost.html)
13:25:03	6447/6447	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/plugins.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/plugins.js	(from http://10.1.1.1/Xhost.html)
13:25:03	7712/7712	---M-Z	200	added ('OK')	application/javascript		http://10.1.1.1/Xhost/index.js	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost/index.js	(from http://10.1.1.1/Xhost.html)
13:25:03	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/BG1.jpg	D:/meusites2/esp32s2pa4host/10.1.1.1/BG1.32.delayed	(from http://10.1.1.1/Hakkuraifu.html)
